Summons Number,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
9006283368,NY,PAS,8/30/22,71,SUBN,SUBAR,T,20240527,77,77,77,370257,T301,M,0401P,,K,F,0,408,J6,,YYYYYYY,,,GY,,2004,,0,,,
8632841555,NY,PAS,7/26/22,21,4DSD,CHEVR,T,20231007,50,50,50,373108,T201,K,0906A,,BX,F,0,408,D1,,  Y,0900A,1030A,BK,,2014,,0,,,
1489282245,AZ,PAS,8/27/22,19,TRUC,GMC,P,0,114,114,114,969454,114,0,0910P,,Q,F,0,408,F1,,BBBBBBB,ALL,ALL,,0,2012,-,0,,,
8877998751,NY,PAS,9/4/22,40,4DSD,FORD,T,20221229,94,94,94,355161,T301,N,1212P,,K,F,0,408,E2,,YYYYYYY,,,BK,,2011,,5,,,
4031667504,NJ,PAS,8/17/23,5,UT,HONDA,V,0,,0,0,0,,,1215P,,MN,,0,1111,C,T,,,,,,2019,,0,,,
4822275954,NY,PAS,1/12/23,36,CONV,ME/BE,V,0,,0,0,0,,,1145P,,BK,,0,1180,B,T,,,,BK,,2020,,0,,,
9034331970,NY,PAS,2/18/23,70,SUBN,NISSA,T,20221128,6,6,6,369623,T800,B2,0929P,,NY,F,0,408,J3,,YYYYYYY,,,GY,,2021,,0,,,
9033612630,NJ,PAS,2/20/23,31,SUBN,JEEP,T,88888888,18,18,18,369649,T106,Q,0321P,,NY,F,0,408,L3,, YYYYY,0700A,0600P,RED,,0,,0,,,
9009274330,FL,PAS,10/21/22,16,4DSD,TOYOT,T,20211188,112,112,112,368520,T402,S,0244P,,Q,I,0,408,K2,, YYYYY,0830A,0400P,SILVE,,0,,0,,,
4828136071,NY,PAS,2/21/23,36,2DSD,INFIN,V,0,,0,0,0,,,0531A,,QN,,0,1180,B,T,,,,GY,,2004,,0,,,
4793818160,NY,PAS,8/19/22,36,SUBN,DODGE,V,0,,0,0,0,,,0824A,,QN,,0,1180,B,T,,,,GY,,2010,,0,,,
4856109121,NY,PAS,8/6/23,36,SUBN,HONDA,V,0,,0,0,0,,,0913P,,QN,,0,1180,B,T,,,,GY,,2013,,0,,,
4834020782,NY,PAS,3/29/23,36,SUBN,FORD,V,0,,0,0,0,,,1249P,,BX,,0,1180,B,T,,,,BK,,2022,,0,,,
9037485078,NY,PAS,2/27/23,37,SUBN,HONDA,T,20240428,70,70,70,372255,T302,V,1045A,1032A,K,F,0,408,H1,, YYYYY,0800A,0700P,WH,,2018,305690,0,,,
8913798815,MA,PAS,8/24/22,16,SUBN,JEEP,T,20240288,6,6,6,367931,T102,S,1247P,,NY,I,0,408,K2,,YYYYYYY,0700A,0600P,RED,,0,,0,,,
9039895340,TX,PAS,3/10/23,14,2DSD,FORD,T,20220788,46,46,46,373211,T201,H,0743A,,BX,F,0,408,C,,YYYYYYY,,,WHITE,,0,,0,,,
9059334607,NY,PAS,8/1/23,74,4DSD,TOYOT,T,20250531,77,77,77,376146,T301,I,0823A,,K,F,0,408,J2,,YYYYYYY,,,BK,,2021,,0,,,
8890013369,FL,PAS,11/30/22,14,SUBN,JEEP,T,88888888,114,114,114,357348,T740,B,1041A,,Q,O,0,408,C,, YYYYY,0600A,0500P,GREY,,0,,0,,,
5128943227,NY,OMT,7/17/23,7,4DSD,TOYOT,V,0,,0,0,0,,,0438P,,QN,,0,1111,D,T,,,,BK,,2019,,0,,,
4030728510,NY,PAS,6/12/23,5,4DSD,TESLA,V,0,,0,0,0,,,0944A,,BK,,0,1111,C,T,,,,BL,,2022,,0,,,
4834453625,NY,PAS,3/31/23,36,2DSD,SMART,V,0,,0,0,0,,,0949P,,QN,,0,1180,B,T,,,,WH,,2016,,0,,,
8984307993,NY,PAS,11/30/22,21,4DSD,VOLVO,T,20230311,61,61,61,366470,T302,P,0851A,,K,F,0,408,D1,,   Y,0830A,1000A,GY,,2020,,0,,,
4807610510,NY,PAS,10/22/22,36,PICK,NISSA,V,0,,0,0,0,,,1231A,,ST,,0,1180,B,T,,,,GY,,2008,,0,,,
1491336602,NY,PAS,7/27/23,40,SDN,TOYOT,P,20230930,68,68,68,971668,68,0,1247A,,K,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2017,-,0,,,
5124494372,NY,PAS,11/17/22,7,4DSD,BMW,V,0,,0,0,0,,,0604P,,BK,,0,1111,D,T,,,,BL,,2016,,0,,,
9008443480,NY,PAS,10/20/22,70,SUBN,NISSA,T,20220903,122,122,122,363482,T303,E,0429P,,R,F,0,408,J3,,YYYYYYY,,,BK,,2014,,0,,,
9011826620,NY,PAS,10/11/22,70,4DSD,ME/BE,T,20221001,114,114,114,349562,T401,M,0653A,,Q,F,0,408,J3,,YYYYYYY,,,BK,,2013,,0,,,
9066550168,NY,PAS,7/13/23,21,SUBN,VOLVO,T,20230828,78,78,78,367382,T302,I,1156A,,K,F,0,408,D1,,    Y,1130A,0100P,WH,,2019,,0,,,
4793324009,NY,PAS,8/17/22,36,4DSD,HONDA,V,0,,0,0,0,,,0928A,,QN,,0,1180,B,T,,,,WH,,2017,,0,,,
4790991120,NY,OMT,8/8/22,36,SUBN,TOYOT,V,0,,0,0,0,,,0855P,,BK,,0,1180,B,T,,,,GR,,2014,,0,,,
8970266501,NY,PAS,2/6/23,17,4DSD,ACURA,T,20240803,43,43,43,342966,T720,B,0820A,,BX,F,0,408,C4,,YYYYYYY,,,WH,,2009,,0,,,
9040763185,NJ,PAS,3/16/23,16,4DSD,HONDA,T,88888888,94,94,94,368930,T301,N,0305P,,K,O,0,408,K2,, YYYYYY,0700A,0700P,BLACK,,0,,0,,,
4810983031,NY,PAS,11/8/22,36,4DSD,NISSA,V,0,,0,0,0,,,1135A,,BK,,0,1180,B,T,,,,WH,,2018,,0,,,
4832473712,NY,PAS,3/22/23,36,SUBN,NISSA,V,0,,0,0,0,,,1017P,,MN,,0,1180,B,T,,,,GY,,2019,,0,,,
9034515448,NY,PAS,2/8/23,71,SUBN,AUDI,T,20231211,13,13,13,357783,T102,L,0837P,,NY,I,0,408,J6,,YYYYYYY,,,BK,,2015,,0,,,
9040192236,GA,PAS,3/24/23,21,4DSD,TOYOT,T,20230488,79,79,79,371763,T301,G,0835A,,K,F,0,408,D1,,     Y,0800A,0930A,SILVE,,0,,0,,,
4828523297,NY,PAS,2/23/23,36,SUBN,SUBAR,V,0,,0,0,0,,,0643P,,BK,,0,1180,B,T,,,,GY,,2013,,0,,,
4789963100,VA,PAS,8/4/22,36,4D,INFIN,V,0,,0,0,0,,,0615A,,BK,,0,1180,B,T,,,,WHI,,2015,,0,,,
4792141096,NY,PAS,8/13/22,36,SUBN,CHEVR,V,0,,0,0,0,,,0334P,,BK,,0,1180,B,T,,,,BK,,2018,,0,,,
9016970976,SC,PAS,11/3/22,14,4DSD,INFIN,T,20220788,73,73,73,337785,T301,C,0749A,,K,F,0,408,C,, YYYYY,0700A,1000A,GREY,,0,,0,,,
4815103884,NY,PAS,12/1/22,36,SUBN,FORD,V,0,,0,0,0,,,1103A,,BK,,0,1180,B,T,,,,BL,,1998,,0,,,
9035859080,NJ,PAS,2/27/23,37,SUBN,ME/BE,T,20238888,19,19,19,367975,T103,JJ,0254P,0235P,NY,F,0,408,H1,, YYYYY,1000A,0700P,BLACK,,0,110070,0,,,
9015684418,VA,PAS,12/5/22,16,PICK,GMC,T,20220288,103,103,103,351318,T402,R,0624P,,Q,O,0,408,K2,,YYYYYYY,,,GREY,,0,,0,,,
9001652219,NY,PAS,8/19/22,31,4DSD,HONDA,T,20230904,18,18,18,331898,MTTF,C,1033A,,NY,I,0,408,L3,, YYYYY,0700A,0600P,BL,,2019,,0,,,
9004868173,NY,PAS,8/29/22,70,SUBN,HONDA,T,88888888,103,103,103,346007,T402,A,0846A,,Q,F,0,408,J3,,YYYYYYY,,,GREY,,0,,0,,,
9031530773,NY,PAS,2/10/23,40,4DSD,TOYOT,T,20240726,94,94,94,356531,T301,A,1227P,,K,F,0,408,E2,,YYYYYYY,,,WH,,2004,,0,,,
9039013421,GA,PAS,3/27/23,21,SUBN,KIA,T,20230688,13,13,13,371749,T102,N,1020A,,NY,I,0,408,D1,, Y  Y,0930A,1100A,GREY,,0,,0,,,
8917792625,MD,PAS,8/8/22,31,PICK,FORD,T,20220788,1,1,1,343734,T105,X,0724A,,NY,F,0,408,L3,, YYYYY,0700A,0700P,WHITE,,0,,0,,,
9038835693,NY,COM,3/8/23,14,REFG,ISUZU,T,20240331,9,9,9,365796,T105,E,1108A,,NY,F,0,408,C,,YYYYYYY,,,WH,,2020,,0,,,
9025928286,AZ,PAS,1/11/23,40,VAN,GMC,T,20238888,115,115,115,349562,T401,M,0559A,,Q,F,0,408,E2,,YYYYYYY,,,WHITE,,0,,0,,,
4854513500,NJ,PAS,7/29/23,36,SPOR,AUDI,V,0,,0,0,0,,,0809P,,BK,,0,1180,B,T,,,,,,2018,,0,,,
9056013993,PA,PAS,5/31/23,40,SUBN,DODGE,T,88888888,24,24,24,364937,T103,CC,0954A,,NY,F,0,408,E2,,YYYYYYY,,,RED,,0,,3,,,
9059431170,FL,PAS,6/12/23,31,4DSD,CHEVR,T,88888888,14,14,14,374613,T102,D,0911A,,NY,I,0,408,L3,, YYYYY,0800A,0600P,BLACK,,0,,0,,,
8951468940,NY,SRN,7/13/22,40,SUBN,BMW,T,20220731,19,19,19,373675,T103,E,0936A,,NY,F,0,408,E2,,YYYYYYY,,,BK,,2014,,4,,,
9016973837,UT,PAS,11/14/22,21,4DSD,FORD,T,20228888,73,73,73,337785,T301,C,0827A,,K,O,0,408,D1,, Y  Y,0800A,0930A,BLACK,,0,,0,,,
4790572389,NY,PAS,8/7/22,36,SUBN,TOYOT,V,0,,0,0,0,,,0613A,,BK,,0,1180,B,T,,,,BK,,2015,,0,,,
4810312033,NY,PAS,11/5/22,36,SUBN,TOYOT,V,0,,0,0,0,,,0331A,,BK,,0,1180,B,T,,,,BK,,2019,,0,,,
8956466660,NY,PAS,4/7/23,20,4DSD,FORD,T,20241024,50,50,50,375330,T201,M,0913A,,BX,I,0,408,D,, YYYYY,0800A,0600P,BK,,2012,,0,,,
9064323069,NY,COM,7/14/23,38,VAN,CHEVR,T,20240131,6,6,6,368486,T102,K,1038A,,NY,O,0,408,H1,, YYYYYY,0830A,1000P,BK,,2022,106897,0,,,
9006998382,NY,PAS,9/13/22,14,SUBN,SUBAR,T,20230510,71,71,71,364925,T302,J,0523P,,K,O,0,408,C,, YYYYY,0400P,0700P,BK,,2010,,0,,,
4024832840,NY,PAS,6/25/22,5,VAN,GMC,V,0,,0,0,0,,,1130A,,MN,,0,1111,C,T,,,,WH,,2007,,0,,,
2011238602,NY,PAS,3/30/23,71,4DSD,HONDA,S,20230616,42,42,0,631989,BX03,,0922A,0,Bronx,F,0,408,j6,,,,,GY,,2017,,0,,,
8824073190,NY,PAS,9/9/22,70,4DSD,HYUND,T,20220602,107,107,107,345435,T402,Y,0248P,,Q,O,0,408,J3,,YYYYYYY,,,BK,,2018,,0,,,
4791014819,NY,COM,8/3/22,36,VAN,ME/BE,V,0,,0,0,0,,,0205P,,QN,,0,1180,B,T,,,,WH,,2018,,0,,,
5127038031,NY,SRF,4/21/23,7,SUBN,JAGUA,V,0,,0,0,0,,,1101P,,MN,,0,1111,D,T,,,,BK,,2021,,0,,,
8873496738,NY,PAS,8/3/22,38,SUBN,ME/BE,T,20231122,120,120,120,361057,T303,A,0822A,,R,I,0,408,H1,, YYYYYY,,,GY,,0,525706,0,,,
4031674703,NY,PAS,8/17/23,5,4DSD,CADIL,V,0,,0,0,0,,,0628P,,MN,,0,1111,C,T,,,,OR,,2023,,0,,,
9012105353,PA,PAS,10/5/22,20,4DSD,ME/BE,T,20230988,20,20,20,361282,T103,L,0242P,,NY,O,0,408,D,, YYYYY,0800A,0600P,SILVE,,0,,0,,,
4830626914,CT,PAS,3/10/23,36,UT,MAZDA,V,0,,0,0,0,,,0517P,,BX,,0,1180,B,T,,,,,,2015,,0,,,
4817599560,NY,PAS,12/13/22,36,SUBN,TOYOT,V,0,,0,0,0,,,1204P,,ST,,0,1180,B,T,,,,RD,,2021,,0,,,
4829906339,NY,PAS,3/3/23,36,SUBN,BMW,V,0,,0,0,0,,,0122P,,BK,,0,1180,B,T,,,,BK,,2014,,0,,,
4793910038,NY,PAS,8/15/22,36,SUBN,ACURA,V,0,,0,0,0,,,0350P,,QN,,0,1180,B,T,,,,GY,,2019,,0,,,
9060452847,NY,PAS,7/6/23,21,SUBN,SUBAR,T,20240730,81,81,81,376195,T301,U,1150A,,K,F,0,408,D1,, Y  Y,1100A,1230A,GY,,2014,,0,,,
9053937808,NY,COM,5/22/23,70,REFG,HIN,T,20230430,77,77,77,368610,T301,Q,0330P,,K,F,0,408,J3,,YYYYYYY,,,,,2017,,0,,,
8977359892,NY,PAS,9/19/22,38,SUBN,NISSA,T,20230202,70,70,70,374575,T302,R,0210P,,K,F,0,408,H1,, YYYY,0800A,0700P,BK,,2019,302940,0,,,
4836136817,NY,PAS,4/15/23,36,4DSD,VOLKS,V,0,,0,0,0,,,1130P,,BK,,0,1180,B,T,,,,BK,,2017,,0,,,
4817089386,NY,OMT,12/9/22,36,SUBN,TOYOT,V,0,,0,0,0,,,0443P,,BK,,0,1180,B,T,,,,BK,,2022,,0,,,
4857918833,CT,PAS,8/14/23,36,SPOR,CADIL,V,0,,0,0,0,,,0130P,,QN,,0,1180,B,T,,,,,,2020,,0,,,
9032077041,NY,COM,2/8/23,78,VAN,FORD,T,20231130,105,105,105,354200,T803,BB,1026P,,Q,F,0,408,K6,,YYYYYYY,0900P,0500A,WH,,2012,,0,,,
9011401104,NJ,PAS,10/3/22,31,4DSD,ME/BE,T,88888888,13,13,13,373676,T102,X,0521P,,NY,I,0,408,L3,, YYYYY,0800A,0600P,BLACK,,0,,0,,,
4790185916,NY,PAS,8/5/22,36,SUBN,HONDA,V,0,,0,0,0,,,0358P,,BX,,0,1180,B,T,,,,GY,,2011,,0,,,
9064871267,NY,COM,7/17/23,21,VAN,FORD,T,20240330,67,67,67,376182,T302,G,1210P,,K,F,0,408,D1,, Y  Y,1130A,0100P,GREY,,2004,,0,,,
4857230951,NY,OMS,8/13/23,36,SUBN,AUDI,V,0,,0,0,0,,,1117P,,MN,,0,1180,B,T,,,,WH,,2022,,0,,,
9028064369,IN,PAS,1/11/23,19,TRAC,FRUEH,T,20238888,115,115,115,357738,T401,L,0647A,,Q,O,0,408,C3,,YYYYYYY,,,WHITE,,0,,0,,,
4789990527,NY,PSD,8/4/22,36,SUBN,CHEVR,V,0,,0,0,0,,,1034A,,QN,,0,1180,B,T,,,,BK,,2013,,0,,,
4786762209,NY,PAS,7/13/22,36,4DSD,NISSA,V,0,,0,0,0,,,0618A,,ST,,0,1180,B,T,,,,BL,,2007,,0,,,
9072717739,NY,PAS,8/18/23,40,SUBN,FORD,T,20250730,104,104,104,330743,T402,N,0620A,,Q,F,0,408,E2,,YYYYYYY,,,GY,,2019,,0,,,
8677584754,NY,COM,3/29/23,38,VAN,FORD,T,20240220,7,7,7,376244,T105,D,1229P,,NY,O,0,408,H1,, YYYYYY,0900A,1200A,GY,,2020,102650,0,,,
8823684626,NY,OMT,2/14/23,14,4DSD,TOYOT,T,20231130,109,109,109,341921,T401,M,0852A,,Q,I,0,408,C,,YYYYYYY,,,GY,,2014,,0,,,
8898396272,NY,PAS,8/18/22,70,CONV,VOLKS,T,20220813,13,13,13,373697,T102,B,0830A,,NY,F,0,408,J3,,YYYYYYY,,,TN,,2006,,0,,,
1496646538,NY,COM,5/16/23,78,,CHEVR,P,0,106,106,106,950178,106,0,1215A,,Q,F,0,408,K6,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,
4845015766,NY,PAS,6/6/23,36,SUBN,HYUND,V,0,,0,0,0,,,0849P,,BK,,0,1180,B,T,,,,GY,,2022,,0,,,
8954415490,NY,PAS,7/20/23,21,4DSD,TOYOT,T,20241109,19,19,19,373111,T103,B,1129A,,NY,F,0,408,D1,, Y  Y,1100A,1230A,TN,,1998,,0,,,
9043002501,NY,COM,4/5/23,19,UTIL,HIN,T,20230630,112,112,112,373245,T402,J,1054A,,Q,F,0,408,C3,,YYYYYYY,,,WH,,2019,,0,,,
9059662568,NY,OMS,6/19/23,20,SUBN,JEEP,T,20240930,6,6,6,373242,T102,J,0941A,,NY,F,0,408,D,,YYYYYYY,,,BK,,2023,,0,,,
5125592845,NY,PAS,1/28/23,7,4DSD,VOLKS,V,0,,0,0,0,,,0535P,,QN,,0,1111,D,T,,,,BL,,2018,,0,,,
4851051529,NY,PAS,7/9/23,36,SUBN,TOYOT,V,0,,0,0,0,,,1214P,,QN,,0,1180,B,T,,,,GY,,2013,,0,,,
9000351558,NY,PAS,10/16/22,71,4DSD,TOYOT,T,20240719,103,103,103,373276,T402,E,1013A,,Q,F,0,408,J6,,YYYYYYY,,,LTG,,2007,,0,,,
9049017307,NY,PAS,5/1/23,71,SUBN,INFIN,T,20250218,81,81,81,363470,T301,M,0444P,,K,O,0,408,J6,,YYYYYYY,,,BK,,2022,,0,,,
9000504569,NY,PAS,8/6/22,14,4DSD,LEXUS,T,20230913,84,84,84,370294,T802,A,0806P,,K,O,0,408,C,,YYYYYYY,,,GY,,2017,,0,,,
4827393321,CT,PAS,2/16/23,36,UT,ROVER,V,0,,0,0,0,,,0953A,,BX,,0,1180,B,T,,,,,,2009,,0,,,
2009834872,MA,PAS,12/23/22,21,4DSD,ISUZU,S,0,79,79,0,921396,KN03,,1204P,0,Kings,F,0,408,d1,, Y  Y,1100A,1230P,GY,,0,,0,,,
4813251432,NY,PAS,11/19/22,36,4DSD,KIA,V,0,,0,0,0,,,0354A,,QN,,0,1180,B,T,,,,BL,,2018,,0,,,
9006484600,NY,COM,9/14/22,69,VAN,FORD,T,88888888,13,13,13,372236,T102,C,1157A,,NY,O,0,408,H1,, YYYYY,0700A,0700P,BROWN,,2019,106365,0,,,
9037543558,NJ,PAS,3/14/23,20,SUBN,CHEVR,T,88888888,110,110,110,368584,T401,Q,1213P,,Q,F,0,408,D,,YYYYYYY,,,RED,,0,,0,,,
4821203534,NJ,PAS,1/6/23,36,PK,NISSA,V,0,,0,0,0,,,1132A,,QN,,0,1180,B,T,,,,,,2022,,0,,,
4845651749,NJ,PAS,6/9/23,36,SD,NISSA,V,0,,0,0,0,,,0956A,,ST,,0,1180,B,T,,,,,,2021,,0,,,
5602108890,NY,OML,3/22/23,12,SUBN,FORD,V,0,,0,0,0,,,0712P,,,,0,1111,C,T,,,,WH,,2021,,0,,,
4827650524,NY,OMS,2/18/23,36,SUBN,FORD,V,0,,0,0,0,,,0714P,,QN,,0,1180,B,T,,,,GY,,2022,,0,,,
4840599488,NY,PAS,5/6/23,36,SUBN,TOYOT,V,0,,0,0,0,,,0642P,,BX,,0,1180,B,T,,,,BK,,2010,,0,,,
9073918522,NY,TRC,8/23/23,13,TRAC,PETER,T,20240131,14,14,14,350424,T106,Q,1006A,,NY,F,0,408,C1,,YYYYYYY,,,RD,,2013,,0,,,
4839228358,NY,PAS,5/1/23,36,SUBN,KIA,V,0,,0,0,0,,,0728A,,BK,,0,1180,B,T,,,,OR,,2022,,0,,,
2012634930,NY,PAS,7/10/23,21,SUBN,JEEP,S,20230722,75,75,0,668616,SIBO,,1139A,0,Kings,O,0,408,d1,,Y  Y,1100A,1230A,RD,,2018,,0,,,
9076506097,NY,PAS,8/25/23,14,4DSD,HONDA,T,20250817,84,84,84,370777,T301,R,1240P,,K,I,0,408,C,,YYYYYYY,,,RD,,2023,,0,,,
9031212982,NY,PAS,2/6/23,21,SUBN,SUBAR,T,20240802,23,23,23,354164,T103,H,1000A,,NY,I,0,408,D1,, Y  Y,0930A,1100A,BL,,2017,,0,,,
4833212894,MA,PAS,3/26/23,36,SD,DODGE,V,0,,0,0,0,,,0132A,,BK,,0,1180,B,T,,,,,,2022,,0,,,
8893745161,NY,COM,7/21/23,71,VAN,FORD,T,20240831,18,18,18,351311,T106,O,1123A,,NY,I,0,408,J6,,YYYYYYY,,,WH,,2019,,0,,,
4813970059,NY,PAS,11/23/22,36,SUBN,BMW,V,0,,0,0,0,,,0533P,,MN,,0,1180,B,T,,,,BL,,2019,,0,,,
1486586636,NJ,PAS,1/1/23,46,SDN,HONDA,P,20221220,48,48,48,969458,48,0,0344A,0340A,BX,F,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,
4851311084,NY,PAS,7/9/23,36,SUBN,HYUND,V,0,,0,0,0,,,0908P,,QN,,0,1180,B,T,,,,BK,,2023,,0,,,
9042733275,NY,COM,4/4/23,20,VAN,CHEVR,T,88888888,9,9,9,367947,T102,J,0236P,,NY,O,0,408,D,,YYYYYYY,,,WHITE,,2011,,0,,,
9003452933,NY,COM,8/17/22,11,DELV,INTER,T,20221231,13,13,13,366497,T102,O,1025A,,NY,F,0,408,C5,,YYYYYYY,,,WHITE,,2009,,0,,,
9004998378,NY,PAS,8/31/22,38,SUBN,CHEVR,T,20230213,114,114,114,370796,T401,I,0808A,,Q,F,0,408,H1,, YYYYYY,0800A,0700P,WH,,2006,425563,0,,,
9000818930,NY,COM,7/26/22,46,VAN,FORD,T,20230630,23,23,23,370301,T103,N,1223P,,NY,F,0,408,F1,,YYYYYYY,,,WH,,2020,,0,,,
4792719379,NY,PAS,8/15/22,36,SUBN,LEXUS,V,0,,0,0,0,,,0457A,,BK,,0,1180,B,T,,,,WH,,2005,,0,,,
4844203228,NY,PAS,6/2/23,36,SUBN,ROVER,V,0,,0,0,0,,,0814P,,QN,,0,1180,B,T,,,,WH,,2019,,0,,,
4812052373,PA,PAS,11/12/22,36,SDN,MITSU,V,0,,0,0,0,,,0105P,,BK,,0,1180,B,T,,,,,,2008,,0,,,
9035413064,NJ,PAS,3/2/23,21,4DSD,HONDA,T,88888888,44,44,44,371238,T201,B,1145A,,BX,I,0,408,D1,, Y  Y,1130A,0100P,GOLD,,0,,0,,,
8724096933,NY,PAS,4/20/23,20,4DSD,DODGE,T,20240708,115,115,115,356559,T740,F,1211P,,Q,F,0,408,D,, YYYYY,0700A,0700P,GY,,2007,,0,,,
9040917012,FL,PAS,4/1/23,38,SUBN,JEEP,T,88888888,14,14,14,358130,T106,D,0850A,,NY,O,0,408,H1,,      Y,0800A,1200A,GREY,,0,104318,0,,,
8897781585,NJ,PAS,7/11/22,31,PICK,CHEVR,T,88888888,5,5,5,373130,T102,J,0950A,,NY,F,0,408,L3,, YYYYYY,0900A,0700P,SILVE,,0,,0,,,
8899087519,NY,COM,3/22/23,46,VAN,FORD,T,20230531,9,9,9,376224,T102,R,0218P,,NY,F,0,408,F1,,YYYYYYY,,,WH,,2020,,0,,,
9045001070,NY,PAS,3/30/23,21,SUBN,TOYOT,T,20230526,19,19,19,356314,T103,H,1109A,,NY,F,0,408,D1,, Y  Y,1100A,1230A,GY,,2011,,0,,,
4789124071,NY,PAS,7/29/22,36,SUBN,BMW,V,0,,0,0,0,,,1122A,,QN,,0,1180,B,T,,,,GY,,2010,,0,,,
9068089985,NY,COM,8/16/23,69,VAN,FORD,T,20241031,10,10,10,375290,T102,B,1234P,,NY,F,0,408,H1,, YYYYY,0700A,0700P,BL,,2009,105679,0,,,
4788306372,NY,PAS,7/19/22,36,4DSD,FORD,V,0,,0,0,0,,,0544P,,QN,,0,1180,B,T,,,,BL,,2020,,0,,,
9030349347,NY,OMT,2/1/23,17,4DSD,TOYOT,T,20230731,40,40,40,371731,T201,O,0656A,,BX,I,0,408,C4,,YYYYYYY,,,BK,,2017,,0,,,
5126532765,NY,PAS,3/28/23,7,SUBN,HONDA,V,0,,0,0,0,,,0313P,,BK,,0,1111,D,T,,,,LTGY,,2004,,0,,,
4826759289,CT,PAS,2/10/23,36,SD,FORD,V,0,,0,0,0,,,1259A,,QN,,0,1180,B,T,,,,,,2014,,0,,,
4796023653,NY,PAS,8/28/22,36,SUBN,JEEP,V,0,,0,0,0,,,1138A,,QN,,0,1180,B,T,,,,GY,,2009,,0,,,
2009202454,NY,PAS,11/28/22,21,SUBN,HONDA,S,20230418,114,114,0,668664,QW01,,1000A,0,Qns,,0,408,d1,,Y  Y,0930A,1100A,LT/GY,,2011,,0,,,
8952616613,NY,COM,7/28/23,46,REFG,HIN,T,20240131,24,24,24,375358,T103,M,0422P,,NY,F,0,408,F1,,YYYYYYY,,,WH,,2016,,0,,,
4858334478,PA,PAS,8/20/23,36,SW,NISSA,V,0,,0,0,0,,,1104A,,MN,,0,1180,B,T,,,,,,2013,,0,,,
4807878803,NY,SRF,10/21/22,36,4DSD,DODGE,V,0,,0,0,0,,,1216P,,QN,,0,1180,B,T,,,,BL,,2021,,0,,,
